country1,country2,dist_squared
abw,abw,27.3529
abw,afg,175769525.9961
abw,ago,90571575.9481
abw,aia,966819.8929
abw,alb,82659736.2276
abw,and,57347148.3841
abw,ant,18599.5044
abw,are,162180479.7001
abw,arg,29119190.2884
abw,arm,123382776.5284
abw,atg,1050604.5001
abw,aus,232181406.25
abw,aut,76023227.9569
abw,aze,132319009
abw,bdi,123664853.0209
abw,bel,61576507.5849
abw,ben,63679442.4036
abw,bfa,54967692.5604
abw,bgd,239427964.3716
abw,bgr,87385851.8416
abw,bhr,151495725.8896
abw,bhs,2523395.7904
abw,bih,79863891.9556
abw,blr,88033745.7169
abw,blz,4310689.4884
abw,bmu,5124745.1641
abw,bol,10499090.4529
abw,bra,22653887.3521
abw,brb,1297867.7776
abw,brn,324319398.6769
abw,btn,227131122.5569
abw,bwa,125356685.8384
abw,caf,95491202.2416
abw,can,12772689.7321
abw,cck,346491792.2041
abw,che,64904453.0689
abw,chl,26272595.4624
abw,chn,200373933.6225
abw,civ,53200685.4544
abw,cmr,81257424.2041
abw,cog,92427073.21
abw,cok,109928305.0089
abw,col,1074601.7569
abw,com,163907847.0225
abw,cpv,25365224.2321
abw,cri,2404887.5929
abw,cub,3079112.4676
abw,cxr,381011661.0304
abw,cym,2020321.1044
abw,cyp,108226986.3684
abw,cze,73289008.81
abw,deu,64551422.6721
abw,dji,148519800.3969
abw,dma,980080.2001
abw,dnk,70704385.7881
abw,dom,439701.61
abw,dza,59080898.6881
abw,ecu,2884562.56
abw,egy,107819356.6321
abw,eri,135026491.6081
abw,esh,37503498.4801
abw,esp,50716047.1104
abw,est,82601014.0201
abw,eth,139649288.3289
abw,fin,82583746.7536
abw,fji,161097271.6081
abw,flk,52535533.4596
abw,fra,59072751.3744
abw,fro,54915658.4601
abw,fsm,203453422.9641
abw,gab,78657919.3449
abw,gbr,56870300.7376
abw,geo,122255922.1636
abw,gha,59258280.2436
abw,gib,48122246.4804
abw,gin,35293223.4561
abw,gmb,33472010.25
abw,gnb,34960494.3076
abw,gnq,76066306.56
abw,grc,90082118.1456
abw,grd,830558.8225
abw,grl,35058359.4201
abw,gtm,4928710.8049
abw,guy,2126959.7281
abw,hkg,260213355.0769
abw,hnd,3470955.3025
abw,hrv,75983822.5969
abw,hti,503234.1721
abw,hun,79702755.9696
abw,idn,370192607.3521
abw,ind,203295411.7489
abw,irl,51466562.9604
abw,irn,141138676.8324
abw,irq,130561245.7956
abw,isl,46610932.9284
abw,isr,113104075.8016
abw,ita,71912604.8169
abw,jam,880500.7225
