group_fullname_english,group_color
Animals; live,#ab0033
Meat and edible meat offal,#2de48e
"Fish and crustaceans, molluscs and other aquatic invertebrates",#9b0f87
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",#79ec88
Animal originated products; not elsewhere specified or included,#552797
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",#9dc73e
Vegetables and certain roots and tubers; edible,#241070
"Fruit and nuts, edible; peel of citrus fruit or melons",#77c042
"Coffee, tea, mate and spices",#922698
Cereals,#40951a
"Products of the milling industry; malt, starches, inulin, wheat gluten",#8a47ba
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",#bfc230
"Lac; gums, resins and other vegetable saps and extracts",#456de5
Vegetable plaiting materials; vegetable products not elsewhere specified or included,#e3b02a
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,#6770e9
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",#ffcd4f
Sugars and sugar confectionery,#001f70
Cocoa and cocoa preparations,#a7e57b
"Preparations of cereals, flour, starch or milk; pastrycooks' products",#330d64
"Preparations of vegetables, fruit, nuts or other parts of plants",#82ea9c
Miscellaneous edible preparations,#b352c3
"Beverages, spirits and vinegar",#007202
"Food industries, residues and wastes thereof; prepared animal fodder",#bc72e9
Tobacco and manufactured tobacco substitutes,#019439
"Salt; sulphur; earths, stone; plastering materials, lime and cement",#cd3ea3
"Ores, slag and ash",#00e8b4
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",#c90b51
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",#00b972
Organic chemicals,#ff61b1
Pharmaceutical products,#009f4e
Fertilizers,#7e5dd3
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",#779200
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",#f193ff
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",#1e6800
Albuminoidal substances; modified starches; glues; enzymes,#d593ff
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,#557e00
Photographic or cinematographic goods,#0067cc
Chemical products n.e.c.,#ee942c
Plastics and articles thereof,#003388
Rubber and articles thereof,#fcce63
Raw hides and skins (other than furskins) and leather,#00327c
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",#fe953b
Furskins and artificial fur; manufactures thereof,#017cda
Wood and articles of wood; wood charcoal,#bf7300
Cork and articles of cork,#02aefc
"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",#d16318
Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,#004b9d
"Paper and paperboard; articles of paper pulp, of paper or paperboard",#ccdd78
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",#450055
Silk,#77eaa7
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",#b80057
Cotton,#77e9bd
Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,#74005c
Man-made filaments; strip and the like of man-made textile materials,#b6e18e
Man-made staple fibres,#57004e
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",#aee29a
Carpets and other textile floor coverings,#91004f
"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",#02aa84
"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",#ff5597
Fabrics; knitted or crocheted,#005304
Apparel and clothing accessories; knitted or crocheted,#ff70c2
Apparel and clothing accessories; not knitted or crocheted,#004903
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",#f9aaff
Footwear; gaiters and the like; parts of such articles,#576d00
Headgear and parts thereof,#86a2ff
"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",#968700
"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",#ff94e1
"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",#00844e
Ceramic products,#eb4655
Glass and glassware,#005c27
"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",#ce3435
Iron and steel,#368c5f
Iron or steel articles,#e25638
Copper and articles thereof,#83b473
Nickel and articles thereof,#54003c
Aluminium and articles thereof,#f0d180
Lead and articles thereof,#5f3c79
Zinc and articles thereof,#807d00
Tin; articles thereof,#8f5b98
"Metals; n.e.c., cermets and articles thereof",#8b6900
"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",#62003a
Metal; miscellaneous products of base metal,#ffb775
"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",#84003f
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",#8a843b
"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",#ff85ae
"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",#4d5200
"Aircraft, spacecraft and parts thereof",#b9699a
"Ships, boats and floating structures",#8f5d00
"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",#a74e6e
Clocks and watches and parts thereof,#ffa055
Musical instruments; parts and accessories of such articles,#670027
Arms and ammunition; parts and accessories thereof,#ffa881
"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",#5e0800
"Toys, games and sports requisites; parts and accessories thereof",#ff946c
Miscellaneous manufactured articles,#830027
Works of art; collectors' pieces and antiques,#dc6427
Commodities not specified according to kind,#782000
Others,#ff8278
